soundname, nsyll, npause, dur (s), phonationtime (s), speechrate (nsyll/dur), articulation rate (nsyll / phonationtime), ASD (speakingtime/nsyll)
anonymouskartulispeechrecognition1403897545989-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-27_23_34_1403897687455_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-27_23_34_1403897687455, 12, 1, 10.11, 2.30, 1.19, 5.21, 0.192
anonymouskartulispeechrecognition1404052897555-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-29_18_42_1404052930821_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-29_18_42_1404052930821, 19, 2, 8.22, 5.09, 2.31, 3.73, 0.268
anonymouskartulispeechrecognition1404052897555-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-29_18_42_1404052930821_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-29_18_42_1404052930821, 20, 2, 8.28, 5.14, 2.42, 3.89, 0.257
anonymouskartulispeechrecognition1404075814658-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340, 6, 0, 7.48, 2.42, 0.80, 2.48, 0.403
anonymouskartulispeechrecognition1404075814658-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_01_04_1404075846340, 6, 0, 7.55, 2.42, 0.79, 2.48, 0.403
anonymouskartulispeechrecognition1404080060164-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280, 7, 2, 5.80, 1.64, 1.21, 4.28, 0.234
anonymouskartulispeechrecognition1404080060164-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_09_21_1404105705280, 8, 2, 5.88, 1.67, 1.36, 4.80, 0.208
anonymouskartulispeechrecognition1404157852612-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266, 13, 4, 11.42, 4.57, 1.14, 2.85, 0.351
anonymouskartulispeechrecognition1404157852612-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266_axla_ar_mcalia_da_sagamos_gadmoval__2014-06-30_22_52_1404157923266, 13, 4, 11.49, 4.61, 1.13, 2.82, 0.355
anonymouskartulispeechrecognition1404570700814-kartuli_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227_axla_ar_mcalia_da_sagamos_gadmoval__2014-07-05_18_34_1404570871227, 5, 1, 7.28, 1.57, 0.69, 3.19, 0.314
